Shipment_ID,Country,City,Warehouse,Transport_Mode,Distance_km,Delivery_Time_days,Expected_Delivery_days,Delay_days,Shipping_Cost,Order_Value,Order_Date,Delivery_Date
SHP-100036,Tanzania,Dodoma,WH-East-2,Truck,1552,3,3,0,1245.49,4311.15,2024-04-06,2024-04-09
SHP-100037,Nigeria,Lagos,WH-East-1,Truck,325,2,1,1,279.62,2063.22,2024-03-26,2024-03-28
SHP-100038,Uganda,Kampala,WH-East-1,Sea,1753,5,4,1,801.03,1731.08,2024-08-14,2024-08-19
SHP-100039,Nigeria,Abuja,WH-East-2,Truck,650,1,1,0,716.29,3728.34,2024-07-16,2024-07-17
SHP-100040,Ethiopia,Addis Ababa,WH-East-1,Air,568,1,1,0,396.25,3926.78,2023-08-27,2023-08-28
SHP-100041,Nigeria,Lagos,WH-East-2,Truck,946,4,2,2,1061.45,2625.21,2024-08-01,2024-08-05
SHP-100042,Uganda,Entebbe,WH-East-2,Truck,1172,3,2,1,1061.21,2352.54,2023-07-25,2023-07-28
SHP-100043,Nigeria,Kano,WH-West-1,Sea,1138,3,2,1,1174.07,637.79,2023-12-13,2023-12-16
SHP-100044,Ethiopia,Mekelle,WH-East-2,Air,930,2,2,0,478.39,3855.25,2024-03-08,2024-03-10
SHP-100045,Uganda,Entebbe,WH-Central-1,Truck,771,1,1,0,358.58,607.22,2024-11-21,2024-11-22
SHP-100046,Ethiopia,Dire Dawa,WH-East-1,Truck,320,1,1,0,236.6,4550.5,2023-03-19,2023-03-20
SHP-100047,Rwanda,Huye,WH-East-1,Truck,1490,4,3,1,737.63,764.13,2024-03-30,2024-04-03
SHP-100048,Kenya,Kisumu,WH-East-2,Truck,1107,4,2,2,640.82,4823.47,2023-01-09,2023-01-13
SHP-100049,Cameroon,Bafoussam,WH-East-1,Truck,739,2,1,1,604.86,3221.11,2024-05-02,2024-05-04
SHP-100050,Rwanda,Huye,WH-East-1,Truck,1761,4,4,0,1095.17,1102.98,2023-11-21,2023-11-25
SHP-100051,Tanzania,Dodoma,WH-West-1,Truck,576,2,1,1,605.4,3486.71,2023-04-24,2023-04-26
SHP-100052,Kenya,Kisumu,WH-West-1,Truck,371,3,1,2,436.27,4242.17,2024-08-09,2024-08-12
SHP-100053,Uganda,Gulu,WH-East-2,Truck,1441,2,3,-1,1573.25,4101.92,2024-11-30,2024-12-02
SHP-100054,Cameroon,Yaounde,WH-Central-1,Truck,902,3,2,1,1049.24,3109.64,2023-06-10,2023-06-13
SHP-100055,Uganda,Entebbe,WH-East-1,Air,843,3,2,1,790.11,2697.48,2024-06-24,2024-06-27
SHP-100056,Cameroon,Douala,WH-East-1,Truck,1371,4,3,1,695.39,338.16,2024-06-12,2024-06-16
SHP-100057,Tanzania,Dar es Salaam,WH-East-2,Truck,1288,5,3,2,530.19,1882.82,2024-02-17,2024-02-22
SHP-100058,Ethiopia,Dire Dawa,WH-East-2,Truck,426,1,1,0,305.54,3186.02,2024-08-26,2024-08-27
SHP-100059,Tanzania,Arusha,WH-East-2,Rail,929,2,2,0,1099.96,2564.57,2023-08-19,2023-08-21
SHP-100060,Rwanda,Huye,WH-East-1,Truck,378,2,1,1,422.39,2475.02,2024-04-12,2024-04-14
SHP-100061,Ethiopia,Addis Ababa,WH-East-1,Sea,476,2,1,1,224.18,779.05,2023-11-19,2023-11-21
SHP-100062,Nigeria,Lagos,WH-East-2,Truck,678,1,1,0,745.03,4620.19,2023-02-12,2023-02-13
SHP-100063,Uganda,Kampala,WH-West-1,Sea,985,3,2,1,558.97,1978.27,2023-12-06,2023-12-09
SHP-100064,Kenya,Mombasa,WH-East-1,Sea,293,2,1,1,237.14,2754.14,2023-03-17,2023-03-19
SHP-100065,Tanzania,Arusha,WH-Central-1,Truck,1024,4,2,2,718.67,296.34,2023-08-14,2023-08-18
SHP-100066,Cameroon,Bafoussam,WH-West-1,Truck,641,1,1,0,300.97,2778.11,2024-02-15,2024-02-16
SHP-100067,Tanzania,Dar es Salaam,WH-East-1,Truck,1491,3,3,0,1029.48,3300.4,2024-02-04,2024-02-07
SHP-100068,Ethiopia,Addis Ababa,WH-Central-1,Truck,340,2,1,1,183.16,4504.47,2023-02-26,2023-02-28
SHP-100069,Ethiopia,Dire Dawa,WH-East-2,Truck,554,1,1,0,605.19,4121.95,2023-06-30,2023-07-01
SHP-100070,Ethiopia,Addis Ababa,WH-East-2,Truck,1100,2,2,0,1117.15,1097.81,2023-08-15,2023-08-17
SHP-100071,Rwanda,Musanze,WH-East-2,Truck,1117,3,2,1,992.45,1585.43,2024-02-11,2024-02-14
SHP-100072,Ethiopia,Addis Ababa,WH-East-1,Truck,873,2,2,0,393.46,4951.81,2023-08-14,2023-08-16
SHP-100073,Uganda,Entebbe,WH-Central-1,Sea,746,3,1,2,653.88,2463.57,2023-10-16,2023-10-19
SHP-100074,Kenya,Kisumu,WH-Central-1,Truck,1130,3,2,1,971.32,4240.78,2023-04-08,2023-04-11
SHP-100075,Uganda,Kampala,WH-Central-1,Truck,837,2,2,0,880.24,3392.95,2024-01-02,2024-01-04
SHP-100076,Nigeria,Lagos,WH-East-1,Truck,1248,4,3,1,961.14,1646.61,2024-06-07,2024-06-11
SHP-100077,Ethiopia,Addis Ababa,WH-East-1,Truck,496,1,1,0,414.08,4551.07,2024-03-12,2024-03-13
SHP-100078,Ethiopia,Dire Dawa,WH-East-2,Sea,308,2,1,1,343.46,3985.27,2023-04-17,2023-04-19
SHP-100079,Rwanda,Kigali,WH-Central-1,Truck,1808,4,4,0,1991.35,1841.99,2024-07-28,2024-08-01
SHP-100080,Uganda,Entebbe,WH-Central-1,Truck,792,1,1,0,773.02,3277.51,2024-04-30,2024-05-01
SHP-100081,Nigeria,Kano,WH-East-1,Air,531,1,1,0,598.31,3000.28,2023-10-08,2023-10-09
SHP-100082,Ethiopia,Dire Dawa,WH-East-1,Sea,1161,5,2,3,481.22,4386.19,2024-10-14,2024-10-19
SHP-100083,Kenya,Mombasa,WH-East-1,Rail,951,3,2,1,496.45,2966.18,2024-02-29,2024-03-03
SHP-100084,Cameroon,Bafoussam,WH-East-2,Truck,1537,3,3,0,1341.83,2115.21,2023-02-08,2023-02-11
SHP-100085,Ethiopia,Addis Ababa,WH-Central-1,Truck,1337,4,3,1,1518.68,1862.46,2023-08-31,2023-09-04
SHP-100086,Cameroon,Yaounde,WH-West-1,Truck,765,3,1,2,611.0,2210.84,2024-10-02,2024-10-05
SHP-100087,Nigeria,Lagos,WH-East-1,Truck,790,2,1,1,923.4,913.58,2023-10-18,2023-10-20
SHP-100088,Nigeria,Abuja,WH-East-1,Truck,1929,5,4,1,1088.17,1115.3,2023-01-26,2023-01-31
SHP-100089,Nigeria,Lagos,WH-Central-1,Truck,842,4,2,2,633.7,2123.66,2024-01-27,2024-01-31
SHP-100090,Uganda,Entebbe,WH-West-1,Truck,762,1,1,0,320.28,949.53,2024-05-16,2024-05-17
SHP-100091,Rwanda,Kigali,WH-East-2,Truck,1600,5,4,1,1500.02,294.61,2023-03-14,2023-03-19
SHP-100092,Nigeria,Abuja,WH-East-2,Truck,690,2,1,1,674.69,4307.34,2024-08-04,2024-08-06
SHP-100093,Rwanda,Huye,WH-Central-1,Rail,750,1,1,0,837.8,262.41,2023-03-01,2023-03-02
SHP-100094,Nigeria,Lagos,WH-Central-1,Truck,1030,2,2,0,625.76,2022.52,2024-02-18,2024-02-20
SHP-100095,Kenya,Kisumu,WH-East-1,Truck,1319,4,3,1,987.8,1613.44,2024-10-25,2024-10-29
SHP-100096,Ethiopia,Dire Dawa,WH-East-2,Sea,682,2,1,1,504.8,307.85,2023-07-08,2023-07-10
SHP-100097,Kenya,Nairobi,WH-East-2,Rail,960,2,2,0,1025.23,4925.13,2024-01-03,2024-01-05
SHP-100098,Rwanda,Kigali,WH-Central-1,Air,684,1,1,0,630.06,4182.76,2023-05-25,2023-05-26
SHP-100099,Uganda,Entebbe,WH-East-2,Truck,218,3,1,2,246.67,2210.1,2023-09-26,2023-09-29
SHP-100100,Nigeria,Kano,WH-East-1,Truck,650,2,1,1,387.58,2068.62,2023-07-22,2023-07-24
SHP-100101,Rwanda,Huye,WH-East-2,Truck,597,3,1,2,466.16,3385.62,2024-10-17,2024-10-20
SHP-100102,Uganda,Gulu,WH-Central-1,Rail,556,2,1,1,371.07,3900.38,2023-03-16,2023-03-18
SHP-100103,Nigeria,Lagos,WH-East-2,Truck,861,3,2,1,643.91,1382.73,2024-07-27,2024-07-30
SHP-100104,Kenya,Mombasa,WH-Central-1,Truck,1152,3,2,1,1306.2,856.73,2024-10-27,2024-10-30
SHP-100105,Rwanda,Huye,WH-Central-1,Truck,800,2,2,0,788.62,4071.49,2024-04-06,2024-04-08
SHP-100106,Uganda,Entebbe,WH-Central-1,Sea,1233,4,3,1,671.32,2926.14,2024-10-02,2024-10-06
SHP-100107,Rwanda,Huye,WH-East-2,Truck,983,3,2,1,1057.35,1731.68,2024-08-03,2024-08-06
SHP-100108,Tanzania,Dar es Salaam,WH-East-1,Truck,938,2,2,0,630.24,3678.88,2023-02-15,2023-02-17
SHP-100109,Tanzania,Dodoma,WH-Central-1,Truck,708,2,1,1,637.7,4452.69,2024-03-07,2024-03-09
SHP-100110,Ethiopia,Addis Ababa,WH-West-1,Rail,932,3,2,1,1024.21,4923.6,2024-06-21,2024-06-24
SHP-100111,Kenya,Mombasa,WH-East-1,Air,754,1,1,0,368.24,1902.19,2023-07-21,2023-07-22
SHP-100112,Rwanda,Musanze,WH-East-2,Truck,498,1,1,0,286.15,4759.81,2024-07-04,2024-07-05
SHP-100113,Rwanda,Musanze,WH-Central-1,Truck,500,2,1,1,266.81,4957.61,2023-06-12,2023-06-14
SHP-100114,Cameroon,Douala,WH-Central-1,Truck,966,3,2,1,556.79,1094.9,2024-06-29,2024-07-02
SHP-100115,Cameroon,Yaounde,WH-Central-1,Truck,687,1,1,0,691.53,3540.9,2023-04-18,2023-04-19
SHP-100116,Tanzania,Dodoma,WH-East-2,Truck,679,2,1,1,321.3,4411.81,2023-07-05,2023-07-07
SHP-100117,Cameroon,Yaounde,WH-East-2,Truck,1618,5,4,1,1175.9,1988.9,2023-07-01,2023-07-06
SHP-100118,Tanzania,Arusha,WH-East-1,Truck,886,4,2,2,695.04,3043.56,2024-07-31,2024-08-04
SHP-100119,Kenya,Mombasa,WH-Central-1,Truck,1375,4,3,1,1516.49,4027.64,2024-04-05,2024-04-09
SHP-100120,Uganda,Entebbe,WH-East-2,Truck,1228,4,3,1,647.01,4428.18,2024-09-02,2024-09-06
SHP-100121,Nigeria,Kano,WH-East-2,Air,1159,2,2,0,1222.02,4194.24,2023-12-22,2023-12-24
SHP-100122,Tanzania,Dodoma,WH-Central-1,Truck,976,3,2,1,999.3,713.51,2024-06-16,2024-06-19
SHP-100123,Nigeria,Lagos,WH-Central-1,Truck,1765,5,4,1,2022.02,692.05,2024-10-18,2024-10-23
SHP-100124,Kenya,Nairobi,WH-East-1,Truck,721,2,1,1,487.91,3180.39,2023-02-02,2023-02-04
SHP-100125,Uganda,Entebbe,WH-East-1,Truck,619,2,1,1,629.11,3479.82,2023-11-09,2023-11-11
SHP-100126,Cameroon,Bafoussam,WH-East-2,Air,320,1,1,0,149.09,3466.4,2024-04-03,2024-04-04
SHP-100127,Uganda,Gulu,WH-West-1,Truck,1183,3,2,1,1077.5,2108.45,2023-07-11,2023-07-14
SHP-100128,Cameroon,Bafoussam,WH-East-1,Rail,881,3,2,1,961.6,2471.41,2024-11-08,2024-11-11
SHP-100129,Nigeria,Lagos,WH-West-1,Truck,1477,4,3,1,1589.0,3852.92,2024-03-14,2024-03-18
SHP-100130,Nigeria,Kano,WH-West-1,Truck,978,3,2,1,548.09,2559.65,2023-02-14,2023-02-17
SHP-100131,Kenya,Nairobi,WH-West-1,Truck,1620,4,4,0,1237.97,255.78,2023-02-20,2023-02-24
SHP-100132,Uganda,Entebbe,WH-Central-1,Sea,719,3,1,2,736.17,390.17,2023-12-03,2023-12-06
SHP-100133,Uganda,Entebbe,WH-West-1,Rail,1070,4,2,2,1029.31,2886.31,2023-01-07,2023-01-11
SHP-100134,Ethiopia,Dire Dawa,WH-East-2,Air,983,2,2,0,839.51,3509.43,2024-07-14,2024-07-16
SHP-100135,Uganda,Gulu,WH-Central-1,Air,787,1,1,0,759.6,351.61,2024-10-17,2024-10-18
SHP-100136,Nigeria,Kano,WH-Central-1,Air,923,2,2,0,619.85,4111.16,2023-02-26,2023-02-28
SHP-100137,Ethiopia,Dire Dawa,WH-East-2,Truck,1154,3,2,1,1055.75,2726.73,2024-05-27,2024-05-30
SHP-100138,Rwanda,Musanze,WH-Central-1,Truck,639,1,1,0,592.33,2591.34,2024-01-24,2024-01-25
SHP-100139,Tanzania,Arusha,WH-East-1,Truck,670,1,1,0,632.6,546.55,2023-01-22,2023-01-23
SHP-100140,Kenya,Mombasa,WH-East-2,Air,797,1,1,0,539.37,1980.99,2024-11-22,2024-11-23
SHP-100141,Rwanda,Huye,WH-West-1,Truck,1529,3,3,0,1679.97,4523.37,2023-10-23,2023-10-26
SHP-100142,Uganda,Gulu,WH-East-1,Truck,1160,2,2,0,1128.29,4563.36,2023-05-06,2023-05-08
SHP-100143,Uganda,Gulu,WH-East-1,Rail,1058,2,2,0,1160.2,2337.47,2023-12-27,2023-12-29
SHP-100144,Nigeria,Kano,WH-West-1,Truck,1359,3,3,0,1384.52,828.19,2024-11-09,2024-11-12
SHP-100145,Tanzania,Arusha,WH-West-1,Rail,1364,2,3,-1,1450.08,2268.26,2023-06-24,2023-06-26
SHP-100146,Nigeria,Abuja,WH-East-2,Truck,1500,4,3,1,1613.0,4067.22,2024-02-14,2024-02-18
SHP-100147,Tanzania,Arusha,WH-West-1,Truck,1730,5,4,1,771.01,2749.61,2024-10-17,2024-10-22
SHP-100148,Tanzania,Dodoma,WH-West-1,Air,1193,2,2,0,911.2,2674.86,2023-12-09,2023-12-11
SHP-100149,Nigeria,Abuja,WH-East-2,Sea,1038,3,2,1,974.42,4855.58,2023-03-07,2023-03-10
SHP-100150,Ethiopia,Addis Ababa,WH-West-1,Truck,650,3,1,2,751.2,3479.59,2023-12-15,2023-12-18
SHP-100151,Cameroon,Douala,WH-East-1,Truck,1098,3,2,1,1256.95,3509.73,2024-04-18,2024-04-21
SHP-100152,Kenya,Mombasa,WH-East-2,Truck,1155,2,2,0,1385.46,431.42,2024-11-15,2024-11-17
SHP-100153,Uganda,Gulu,WH-East-2,Truck,598,2,1,1,592.47,4416.87,2023-10-10,2023-10-12
SHP-100154,Tanzania,Arusha,WH-Central-1,Air,1375,3,3,0,1449.62,777.0,2024-01-17,2024-01-20
SHP-100155,Nigeria,Abuja,WH-Central-1,Rail,1450,3,3,0,1100.48,1340.21,2023-09-19,2023-09-22
SHP-100156,Uganda,Kampala,WH-East-1,Sea,1556,5,3,2,1268.55,2500.07,2023-01-18,2023-01-23
SHP-100157,Tanzania,Dar es Salaam,WH-East-1,Air,770,1,1,0,636.7,3117.94,2024-06-19,2024-06-20
SHP-100158,Cameroon,Douala,WH-East-1,Sea,1137,3,2,1,509.62,4685.29,2023-09-04,2023-09-07
SHP-100159,Kenya,Nairobi,WH-East-2,Truck,874,3,2,1,564.46,4054.52,2024-01-13,2024-01-16
SHP-100160,Uganda,Entebbe,WH-East-1,Truck,1267,3,3,0,690.41,3469.37,2023-05-08,2023-05-11
SHP-100161,Kenya,Mombasa,WH-Central-1,Air,810,2,2,0,490.25,4822.05,2023-12-05,2023-12-07
SHP-100162,Kenya,Kisumu,WH-East-1,Air,989,2,2,0,1043.74,4444.19,2023-06-09,2023-06-11
SHP-100163,Kenya,Mombasa,WH-East-1,Truck,1117,3,2,1,1251.06,1896.42,2023-06-15,2023-06-18
SHP-100164,Tanzania,Dodoma,WH-West-1,Truck,612,2,1,1,550.24,2368.48,2024-02-15,2024-02-17
SHP-100165,Cameroon,Douala,WH-East-1,Truck,1011,3,2,1,481.81,313.47,2024-03-25,2024-03-28
SHP-100166,Nigeria,Kano,WH-East-2,Truck,1285,5,3,2,1529.44,854.91,2024-05-01,2024-05-06
SHP-100167,Nigeria,Abuja,WH-East-1,Air,1931,4,4,0,2303.69,816.29,2023-03-14,2023-03-18
SHP-100168,Ethiopia,Addis Ababa,WH-Central-1,Truck,1127,4,2,2,655.15,1903.98,2023-02-18,2023-02-22
SHP-100169,Cameroon,Yaounde,WH-East-1,Truck,494,1,1,0,411.01,4424.38,2024-03-31,2024-04-01
SHP-100170,Tanzania,Dar es Salaam,WH-West-1,Rail,102,1,1,0,78.76,488.68,2024-01-29,2024-01-30
SHP-100171,Rwanda,Huye,WH-Central-1,Truck,1067,2,2,0,811.24,3829.58,2023-09-01,2023-09-03
SHP-100172,Nigeria,Abuja,WH-East-2,Truck,1336,4,3,1,1091.2,3193.21,2023-03-04,2023-03-08
SHP-100173,Cameroon,Bafoussam,WH-Central-1,Truck,956,2,2,0,924.45,373.57,2023-08-01,2023-08-03
SHP-100174,Ethiopia,Dire Dawa,WH-West-1,Truck,585,1,1,0,515.08,2675.26,2024-10-05,2024-10-06
SHP-100175,Cameroon,Bafoussam,WH-Central-1,Truck,50,2,1,1,57.22,758.56,2024-07-26,2024-07-28
SHP-100176,Kenya,Nairobi,WH-Central-1,Rail,1267,4,3,1,588.82,2134.3,2023-05-02,2023-05-06
SHP-100177,Kenya,Mombasa,WH-West-1,Truck,1296,3,3,0,1371.15,836.12,2024-08-26,2024-08-29
SHP-100178,Uganda,Gulu,WH-East-2,Truck,889,3,2,1,639.13,902.6,2023-09-15,2023-09-18
SHP-100179,Tanzania,Arusha,WH-Central-1,Truck,375,2,1,1,301.84,2309.66,2023-03-15,2023-03-17
SHP-100180,Ethiopia,Mekelle,WH-Central-1,Truck,416,2,1,1,185.76,4975.36,2023-02-10,2023-02-12
SHP-100181,Ethiopia,Addis Ababa,WH-East-1,Truck,1496,3,3,0,719.33,3522.37,2023-02-13,2023-02-16
SHP-100182,Uganda,Gulu,WH-East-2,Air,964,2,2,0,792.05,2245.2,2023-04-02,2023-04-04
SHP-100183,Cameroon,Bafoussam,WH-West-1,Truck,306,2,1,1,223.78,4172.18,2024-05-28,2024-05-30
SHP-100184,Rwanda,Kigali,WH-Central-1,Truck,669,1,1,0,274.09,1357.77,2024-11-14,2024-11-15
SHP-100185,Cameroon,Douala,WH-Central-1,Air,973,2,2,0,1046.45,670.8,2023-12-08,2023-12-10
SHP-100186,Tanzania,Arusha,WH-Central-1,Truck,722,1,1,0,554.18,3968.08,2024-09-16,2024-09-17
SHP-100187,Cameroon,Bafoussam,WH-Central-1,Truck,254,2,1,1,272.47,384.45,2024-09-23,2024-09-25
SHP-100188,Uganda,Gulu,WH-Central-1,Truck,1762,4,4,0,798.75,2688.36,2023-04-16,2023-04-20
SHP-100189,Rwanda,Musanze,WH-East-2,Truck,1524,4,3,1,712.98,3638.35,2023-02-20,2023-02-24
SHP-100190,Cameroon,Bafoussam,WH-East-2,Truck,361,1,1,0,194.68,672.3,2024-04-07,2024-04-08
SHP-100191,Cameroon,Yaounde,WH-Central-1,Air,1114,2,2,0,785.98,1187.3,2023-03-26,2023-03-28
SHP-100192,Nigeria,Kano,WH-Central-1,Sea,1431,4,3,1,1694.27,3089.03,2024-02-12,2024-02-16
SHP-100193,Nigeria,Lagos,WH-Central-1,Truck,1271,4,3,1,852.35,4654.8,2023-06-07,2023-06-11
SHP-100194,Kenya,Mombasa,WH-East-1,Air,482,2,1,1,534.8,3299.89,2023-07-20,2023-07-22
SHP-100195,Kenya,Mombasa,WH-East-1,Sea,789,1,1,0,606.29,4241.59,2024-05-24,2024-05-25
SHP-100196,Ethiopia,Dire Dawa,WH-East-2,Truck,1165,3,2,1,1228.18,1224.85,2023-12-21,2023-12-24
SHP-100197,Nigeria,Abuja,WH-East-1,Rail,639,3,1,2,515.47,1628.23,2024-01-31,2024-02-03
SHP-100198,Ethiopia,Dire Dawa,WH-West-1,Truck,1201,4,3,1,489.37,1384.06,2024-05-23,2024-05-27
SHP-100199,Tanzania,Dar es Salaam,WH-East-1,Truck,410,2,1,1,404.45,3156.73,2023-05-12,2023-05-14
SHP-100200,Nigeria,Abuja,WH-East-1,Rail,1378,4,3,1,1607.38,1966.12,2023-08-17,2023-08-21
SHP-100201,Uganda,Gulu,WH-East-1,Truck,1159,2,2,0,1133.1,4453.74,2024-02-20,2024-02-22
SHP-100202,Cameroon,Douala,WH-East-2,Truck,332,1,1,0,303.4,511.3,2024-02-10,2024-02-11
SHP-100203,Ethiopia,Dire Dawa,WH-East-1,Sea,1923,6,4,2,2007.6,1495.14,2024-07-31,2024-08-06
SHP-100204,Rwanda,Musanze,WH-West-1,Truck,572,2,1,1,589.67,2682.89,2023-11-05,2023-11-07
SHP-100205,Nigeria,Kano,WH-East-2,Air,1282,3,3,0,739.06,3071.48,2024-05-29,2024-06-01
SHP-100206,Uganda,Gulu,WH-West-1,Truck,490,3,1,2,525.2,2042.4,2024-02-05,2024-02-08
SHP-100207,Ethiopia,Dire Dawa,WH-Central-1,Truck,516,1,1,0,217.21,316.12,2024-08-05,2024-08-06
SHP-100208,Rwanda,Musanze,WH-East-1,Sea,956,3,2,1,1049.86,4241.28,2023-05-11,2023-05-14
SHP-100209,Kenya,Kisumu,WH-East-2,Truck,262,2,1,1,121.69,3694.11,2023-12-14,2023-12-16
SHP-100210,Rwanda,Kigali,WH-East-2,Truck,1564,3,3,0,1565.72,3353.38,2024-10-31,2024-11-03
SHP-100211,Rwanda,Kigali,WH-East-1,Truck,1020,2,2,0,611.63,1505.36,2024-06-15,2024-06-17
SHP-100212,Cameroon,Bafoussam,WH-West-1,Truck,1497,4,3,1,1014.78,4519.2,2023-01-16,2023-01-20
SHP-100213,Kenya,Mombasa,WH-Central-1,Air,1253,3,3,0,553.58,2210.21,2023-07-02,2023-07-05
SHP-100214,Uganda,Kampala,WH-East-2,Sea,1217,4,3,1,1079.26,1877.63,2023-03-21,2023-03-25
SHP-100215,Nigeria,Kano,WH-East-2,Truck,885,2,2,0,751.35,2712.28,2023-03-22,2023-03-24
SHP-100216,Ethiopia,Addis Ababa,WH-East-2,Sea,1071,2,2,0,821.07,2526.54,2023-04-27,2023-04-29
SHP-100217,Nigeria,Lagos,WH-East-1,Truck,934,2,2,0,781.15,498.91,2023-12-25,2023-12-27
SHP-100218,Nigeria,Abuja,WH-Central-1,Truck,826,4,2,2,830.46,2693.05,2023-05-24,2023-05-28
SHP-100219,Uganda,Entebbe,WH-Central-1,Air,518,1,1,0,527.12,330.4,2023-02-15,2023-02-16
SHP-100220,Tanzania,Dodoma,WH-West-1,Truck,1253,4,3,1,1325.28,2026.02,2024-06-26,2024-06-30
SHP-100221,Ethiopia,Addis Ababa,WH-West-1,Air,599,1,1,0,543.69,4029.99,2023-10-05,2023-10-06
SHP-100222,Ethiopia,Dire Dawa,WH-East-1,Truck,927,3,2,1,1006.48,4549.49,2023-07-13,2023-07-16
SHP-100223,Cameroon,Bafoussam,WH-East-1,Sea,1311,5,3,2,683.93,2313.55,2024-03-06,2024-03-11
SHP-100224,Cameroon,Yaounde,WH-East-1,Air,909,2,2,0,1004.94,2251.95,2023-04-24,2023-04-26
